node_id,osm_id,lon,lat,odbc,od_eff_loss,lscc_loss,td_loss,reachable_demand_share,odbc_rank,odbc_pct,od_eff_rank,od_eff_pct,lscc_rank,lscc_pct,td_rank,td_pct
48,278951704,114.1594502,22.3028812,0.009349674279833799,0.0002548603821161399,0.0019430051813470973,0.0007827937643956953,1.0,966,0.4428736295441431,1335,0.2299480669359492,372,0.727062896710906,1315,0.24148874783612234
49,279077145,114.1530329,22.3262601,0.0019067572456183033,0.0010890456742745106,0.0,0.0058729754266756895,0.9980932427543817,1411,0.1860934795152914,918,0.4705712637045586,1545,0.054818234275822275,637,0.6327178303519908
50,288176867,114.1461329,22.2898986,0.00011001420873287022,2.917388603577124e-05,0.0,0.0003388531738679645,0.999889985791267,1604,0.07501442585112522,1552,0.10502019619157531,1545,0.054818234275822275,1448,0.16503173687247547
51,288991742,114.1627874,22.3181394,0.03347820206212082,0.005562859852088246,0.003886010362694319,0.02284273312761983,0.994534475210002,252,0.8551644547028274,244,0.8597807270628968,123,0.9163300634737449,203,0.8834391229082516
52,288991776,114.1634229,22.3180822,0.03227478127561652,0.002529758593236359,0.0006476683937823658,0.006120976652478116,1.0,272,0.8436237738026544,560,0.6774379688401616,901,0.2951529140219273,617,0.6445470282746683
53,288991796,114.1660608,22.318712,0.0508708113217189,0.002113221829309991,0.0006476683937823658,0.004979338961141992,1.0,81,0.9538372763993076,631,0.6364685516445471,901,0.2951529140219273,706,0.5931909982688979
54,288991961,114.1630542,22.3188051,0.06303550520378359,0.013918513369218096,0.00518134715025905,0.074123325880678,0.9774213339052239,38,0.9786497403346798,55,0.9688401615695326,59,0.9619157530294288,18,0.9901904212348529
55,288994875,114.1598754,22.3194714,0.005117018838333781,0.0004525035637645027,0.0006476683937823658,0.001663168490669023,0.999550685246686,1196,0.3104443162146567,1211,0.3017888055395268,901,0.2951529140219273,1096,0.3681477207155222
56,288994882,114.1593632,22.3232675,0.0057830767369990875,0.0001462608031830234,0.0006476683937823658,0.0003117052181600005,1.0,1143,0.3410271206001154,1436,0.17195614541257934,901,0.2951529140219273,1454,0.16156953260242354
57,288995089,114.1576938,22.3211585,0.009457379811395567,0.0020227577341684418,0.002590673575129463,0.010772121439335645,0.9967545045148559,959,0.4469128678592037,645,0.6281015579919216,244,0.823139065204847,405,0.7665897287939989
58,288995220,114.1574572,22.3214978,0.011235469508904132,0.0011463180488869881,0.0012953367875647315,0.002054062680062533,1.0,885,0.4896133871898442,890,0.4867282169648009,577,0.5744373918061165,1024,0.40940565493364106
59,288995381,114.1566572,22.317492,0.02809791501368188,0.01404421230173123,0.0019430051813470973,0.06766531030158594,0.9783333299181256,356,0.7951529140219273,54,0.9694171956145412,372,0.727062896710906,21,0.9884593190998269
60,288996506,114.1552665,22.3234337,0.0012248997837960717,0.0004774242945942127,0.0006476683937823658,0.003772796115974393,0.9987751002162039,1456,0.16041546451240624,1200,0.30813618003462206,901,0.2951529140219273,803,0.5372186959030583
61,288996662,114.1559847,22.3260954,0.005663422470748782,0.0003849079805449514,0.0006476683937823658,0.0005050139526832838,1.0,1155,0.3341027120600115,1246,0.2815926139642239,901,0.2951529140219273,1407,0.18869013271783036
62,288997665,114.1565829,22.3269464,0.01735145014651554,0.014791418515079063,0.0012953367875647315,0.03855419323471261,0.987545834122096,661,0.6191575302942873,45,0.9746105020196192,577,0.5744373918061165,94,0.9463358338141951
63,288998754,114.1569586,22.3290211,0.0039006049199958614,0.00022624154248016814,0.0006476683937823658,0.00022957238155705311,0.999950886867696,1256,0.27582227351413735,1358,0.21696480092325446,901,0.2951529140219273,1490,0.14079630698211196
64,288998755,114.1578452,22.3283292,0.01579975493980296,0.003621360854395463,0.0012953367875647315,0.0021240589780940106,0.9999181447794931,720,0.5851125216387767,396,0.7720715522215811,577,0.5744373918061165,1010,0.4177726485862666
65,289293757,114.1535899,22.330233,0.0009559693568801866,0.00036355978480952835,0.0,0.002944467395896421,0.9990440306431198,1477,0.14829774956722447,1267,0.26947489901904215,1545,0.054818234275822275,890,0.4870167339873053
