component,strategy,target_fraction,fraction,n_removed,runs,edge_fraction_lost,node_fraction_lost,od_eff_norm,od_eff_norm_std,od_eff_norm_p025,od_eff_norm_p975,od_eff_loss,od_eff_loss_std,od_eff_loss_p025,od_eff_loss_p975,lscc_norm,lscc_norm_std,lscc_norm_p025,lscc_norm_p975,td_loss,td_loss_std,td_loss_p025,td_loss_p975,reachable_demand_share,reachable_demand_share_std,reachable_demand_share_p025,reachable_demand_share_p975
link,lscc,0.2,0.20007020007020007,570,1,0.20007020007020007,0.0,0.29440294944966,0.0,0.29440294944966,0.29440294944966,0.7055970505503399,0.0,0.7055970505503399,0.7055970505503399,0.04404145077720207,0.0,0.04404145077720207,0.04404145077720207,2.944485587143048,0.0,2.944485587143048,2.944485587143048,0.044692067188632875,0.0,0.044692067188632875,0.044692067188632875
link,lscc,0.22,0.22007722007722008,627,1,0.22007722007722008,0.0,0.28374263866596483,0.0,0.28374263866596483,0.28374263866596483,0.7162573613340352,0.0,0.7162573613340352,0.7162573613340352,0.04145077720207254,0.0,0.04145077720207254,0.04145077720207254,2.971812506741132,0.0,2.971812506741132,2.971812506741132,0.035456751583136915,0.0,0.035456751583136915,0.035456751583136915
link,lscc,0.24,0.2400842400842401,684,1,0.2400842400842401,0.0,0.2780620290040494,0.0,0.2780620290040494,0.2780620290040494,0.7219379709959506,0.0,0.7219379709959506,0.7219379709959506,0.034974093264248704,0.0,0.034974093264248704,0.034974093264248704,2.986559601160657,0.0,2.986559601160657,2.986559601160657,0.03044913752299979,0.0,0.03044913752299979,0.03044913752299979
link,lscc,0.26,0.2600912600912601,741,1,0.2600912600912601,0.0,0.27283365867364956,0.0,0.27283365867364956,0.27283365867364956,0.7271663413263505,0.0,0.7271663413263505,0.7271663413263505,0.02590673575129534,0.0,0.02590673575129534,0.02590673575129534,2.9941512965677153,0.0,2.9941512965677153,2.9941512965677153,0.0279774555592555,0.0,0.0279774555592555,0.0279774555592555
link,lscc,0.28,0.2800982800982801,798,1,0.2800982800982801,0.0,0.27079029145920636,0.0,0.27079029145920636,0.27079029145920636,0.7292097085407936,0.0,0.7292097085407936,0.7292097085407936,0.02590673575129534,0.0,0.02590673575129534,0.02590673575129534,2.9987235004756614,0.0,2.9987235004756614,2.9987235004756614,0.026475942902402353,0.0,0.026475942902402353,0.026475942902402353
link,lscc,0.3,0.3001053001053001,855,1,0.3001053001053001,0.0,0.2682061506774781,0.0,0.2682061506774781,0.2682061506774781,0.7317938493225219,0.0,0.7317938493225219,0.7317938493225219,0.02266839378238342,0.0,0.02266839378238342,0.02266839378238342,3.0041080166770664,0.0,3.0041080166770664,3.0041080166770664,0.02473248133612154,0.0,0.02473248133612154,0.02473248133612154
link,lscc,0.32,0.3201123201123201,912,1,0.3201123201123201,0.0,0.26445633834448434,0.0,0.26445633834448434,0.26445633834448434,0.7355436616555157,0.0,0.7355436616555157,0.7355436616555157,0.02266839378238342,0.0,0.02266839378238342,0.02266839378238342,3.0079940578946034,0.0,3.0079940578946034,3.0079940578946034,0.023470814683362432,0.0,0.023470814683362432,0.023470814683362432
link,lscc,0.34,0.34011934011934014,969,1,0.34011934011934014,0.0,0.24752416261084242,0.0,0.24752416261084242,0.24752416261084242,0.7524758373891576,0.0,0.7524758373891576,0.7524758373891576,0.02266839378238342,0.0,0.02266839378238342,0.02266839378238342,3.0173444893086736,0.0,3.0173444893086736,3.0173444893086736,0.02043477726939857,0.0,0.02043477726939857,0.02043477726939857
link,lscc,0.36,0.3601263601263601,1026,1,0.3601263601263601,0.0,0.24514682689641115,0.0,0.24514682689641115,0.24514682689641115,0.7548531731035888,0.0,0.7548531731035888,0.7548531731035888,0.022020725388601035,0.0,0.022020725388601035,0.022020725388601035,3.0212804784261738,0.0,3.0212804784261738,3.0212804784261738,0.019149506639178526,0.0,0.019149506639178526,0.019149506639178526
link,lscc,0.38,0.38013338013338016,1083,1,0.38013338013338016,0.0,0.231714399854135,0.0,0.231714399854135,0.231714399854135,0.768285600145865,0.0,0.768285600145865,0.768285600145865,0.022020725388601035,0.0,0.022020725388601035,0.022020725388601035,3.026686937776633,0.0,3.026686937776633,3.026686937776633,0.017384718648778556,0.0,0.017384718648778556,0.017384718648778556
