component,strategy,run,seed,target_fraction,fraction,n_removed,edge_fraction_lost,node_fraction_lost,od_eff,od_eff_norm,od_eff_loss,lscc,lscc_norm,penalized_total_distance,td_loss,reachable_demand_share
node,random,4,20360909,0.04,0.03981534910559723,69,0.07616707616707617,0.03981534910559723,0.0005933937161722564,0.8832525951997622,0.11674740480023782,0.7991921523369879,0.8970207253886011,2312368593.8748884,0.46878982110525597,0.8774887604141609
node,random,4,20360909,0.06,0.06001154068090017,104,0.11547911547911548,0.06001154068090017,0.0005096084331403171,0.7585401712885785,0.24145982871142146,0.7132140796306982,0.8005181347150259,3002337605.2606497,0.9070501674383865,0.7432245535537908
node,random,4,20360909,0.08,0.08020773225620312,139,0.15373815373815375,0.08020773225620312,0.0004182521409438167,0.6225584782384908,0.37744152176150925,0.6405077899596077,0.7189119170984457,3528973602.271805,1.2415632696689447,0.6455989362041641
node,random,4,20360909,0.1,0.0998268897864974,173,0.18883818883818884,0.0998268897864974,0.0003656118362992908,0.5442046224051292,0.45579537759487077,0.5851125216387767,0.6567357512953368,4099631883.2428684,1.604038818177917,0.5331865401832099
node,random,4,20360909,0.12,0.12002308136180034,208,0.2256932256932257,0.12002308136180034,0.00033192680946268126,0.4940652519299418,0.5059347480700582,0.5129832660126947,0.5757772020725388,4438099954.307414,1.8190298273386447,0.4877598597933592
node,random,4,20360909,0.14,0.1402192729371033,243,0.26114426114426115,0.1402192729371033,0.0002749413150219933,0.4092436832450651,0.5907563167549349,0.309867282169648,0.34779792746113986,5238264151.708688,2.3272848829854675,0.30056773287396377
node,random,4,20360909,0.16,0.15983843046739757,277,0.29484029484029484,0.15983843046739757,0.00024449153962469557,0.3639199084730623,0.6360800915269377,0.09867282169648009,0.11075129533678757,5608763276.511776,2.5626216474963877,0.18452474885916317
node,random,4,20360909,0.18,0.18003462204270052,312,0.3274833274833275,0.18003462204270052,0.00020673631472157213,0.30772214387059044,0.6922778561294096,0.07674552798615118,0.086139896373057,5882409668.435701,2.736438674809719,0.12114579171540524
node,random,4,20360909,0.2,0.20023081361800346,347,0.3618813618813619,0.20023081361800346,0.00017613105804298987,0.2621669388669273,0.7378330611330727,0.05770340450086555,0.06476683937823834,6072515384.488952,2.857191629772248,0.07973033167751813
node,random,4,20360909,0.22,0.21984997114829774,381,0.3934713934713935,0.21984997114829774,0.00014374764912185965,0.21396499605649769,0.7860350039435023,0.029428736295441432,0.033031088082901554,6215507336.131397,2.948018465783048,0.050821427975596495
