component,strategy,run,target_fraction,fraction,n_removed,reachable_share,reach_loss,mean_m,median_m,p90_m,p95_m
link,random,3,0.02,0.020007020007020006,57,0.8610725201444845,0.01028063350930819,1716.2062365279123,1882.158,2689.2070000000003,3246.616699999999
link,random,3,0.04,0.04001404001404001,114,0.8293970547374271,0.04195609891636565,1702.0287892797323,1929.1889999999999,2587.6662000000006,3038.1680000000006
link,random,3,0.06,0.06002106002106002,171,0.8138371769936094,0.05751597666018338,1844.9896032775694,2075.1000000000004,3010.0210000000006,3449.2910000000006
link,random,3,0.08,0.08002808002808003,228,0.7215893303695471,0.14976382328424565,1939.440771659607,2075.1000000000004,3387.1340000000005,4128.325
link,random,3,0.1,0.10003510003510004,285,0.7157543762156154,0.1555987774381773,2007.3384130434783,2205.6659999999997,3447.7380000000003,4128.325
link,random,3,0.12,0.12004212004212005,342,0.6718532925812726,0.19949986107252016,2281.965007444169,2372.6849999999995,4217.824500000001,4653.795000000001
link,random,3,0.14,0.14004914004914004,399,0.5926646290636288,0.2786885245901639,2533.3259864041256,2372.6849999999995,5202.366000000001,5749.203999999989
link,random,3,0.16,0.16005616005616005,456,0.43262017227007504,0.4387329813837177,2295.8113840719334,2802.856,4054.508999999999,5318.661000000001
link,random,3,0.18,0.18006318006318006,513,0.31508752431230896,0.5562656293414838,2429.284912698413,1863.3150000000003,5760.469999999999,5760.469999999999
link,random,3,0.2,0.20007020007020007,570,0.31230897471519864,0.559044178938594,2446.4822099644125,1877.4090000000006,5760.469999999999,5760.469999999999
link,random,3,0.22,0.22007722007722008,627,0.14031675465407056,0.7310363989997222,152.80021782178224,0.0,910.3524000000024,1308.4790000000005
link,random,3,0.24,0.2400842400842401,684,0.1378160600166713,0.7335370936371215,134.93511290322584,0.0,431.2765000000001,1308.4790000000005
link,random,3,0.26,0.2600912600912601,741,0.1342039455404279,0.7371492081133648,106.45354865424433,0.0,0.0,1193.4990000000005
link,random,3,0.28,0.2800982800982801,798,0.1342039455404279,0.7371492081133648,109.5778964803313,0.0,0.0,1308.4790000000005
link,random,3,0.3,0.3001053001053001,855,0.1342039455404279,0.7371492081133648,118.11857971014496,0.0,0.0,1308.4790000000005
link,random,3,0.32,0.3201123201123201,912,0.1342039455404279,0.7371492081133648,118.11857971014496,0.0,0.0,1308.4790000000005
link,random,3,0.34,0.34011934011934014,969,0.13114754098360656,0.7402056126701861,88.81002542372883,0.0,0.0,720.2060000000002
link,random,3,0.36,0.3601263601263601,1026,0.12531258682967492,0.7460405668241178,15.205416851441242,0.0,0.0,0.0
link,random,3,0.38,0.38013338013338016,1083,0.12531258682967492,0.7460405668241178,15.205416851441242,0.0,0.0,0.0
link,random,3,0.4,0.40014040014040014,1140,0.12531258682967492,0.7460405668241178,15.205416851441242,0.0,0.0,0.0
link,random,4,0.0,0.0,0,0.8713531536537927,0.0,1678.3658804209185,1813.3350000000003,2515.206,3245.7529999999997
link,random,4,0.02,0.020007020007020006,57,0.8635732147818839,0.007779938871908865,1721.0986589446586,1841.2955000000002,2592.685500000001,3304.7133499999945
link,random,4,0.04,0.04001404001404001,114,0.8407891080855793,0.03056404556821346,2058.148989755453,2205.5505000000003,3743.6629999999996,3743.6629999999996
link,random,4,0.06,0.06002106002106002,171,0.8180050013892748,0.053348152264517945,2127.1594711277176,2325.3895,3743.6629999999996,3958.4518
link,random,4,0.08,0.08002808002808003,228,0.7885523756599055,0.08280077799388719,2237.36047850599,2488.136,4170.814999999999,4170.814999999999
link,random,4,0.1,0.10003510003510004,285,0.7196443456515699,0.15170880800222286,2153.237482239382,2472.4625,4344.225999999999,4344.225999999999
link,random,4,0.12,0.12004212004212005,342,0.6415671019727702,0.2297860516810225,2142.796813772196,2400.129,4196.1618000000035,4540.362199999998
link,random,4,0.14,0.14004914004914004,399,0.5990552931369825,0.27229786051681026,2168.969531076067,2424.0570000000002,4420.090999999999,4670.5470000000005
link,random,4,0.16,0.16005616005616005,456,0.47791053070297307,0.39344262295081966,2507.500098255814,1955.8690000000004,6902.329600000006,7771.071999999999
link,random,4,0.18,0.18006318006318006,513,0.4090025006946374,0.46235065295915534,1837.1372173913044,1642.0600000000004,4281.880999999999,4670.5470000000005
link,random,4,0.2,0.20007020007020007,570,0.3845512642400667,0.48680188941372604,1918.798750722544,1744.6040000000003,4607.8588,4757.714
link,random,4,0.22,0.22007722007722008,627,0.3664906918588497,0.5048624617949431,2064.18993025019,1635.2880000000002,4602.228,5488.359999999998
link,random,4,0.24,0.2400842400842401,684,0.34481800500138926,0.5265351486524035,2115.4992506043513,1538.2980000000002,4694.973000000001,5697.103000000001
link,random,4,0.26,0.2600912600912601,741,0.23006390664073353,0.6412892470130592,1164.1617355072465,0.0,4222.712000000001,4655.688000000001
link,random,4,0.28,0.2800982800982801,798,0.17171436510141705,0.6996387885523757,316.4816715210356,0.0,1325.462,1638.5170000000003
link,random,4,0.3,0.3001053001053001,855,0.15476521255904419,0.7165879410947485,210.8162280071813,0.0,1040.5616000000007,1342.4533999999942
link,random,4,0.32,0.3201123201123201,912,0.14392886913031397,0.7274242845234787,130.32076061776064,0.0,603.5600000000001,1214.546
link,random,4,0.34,0.34011934011934014,969,0.1361489302584051,0.7352042233953876,66.33881224489797,0.0,0.0,597.2428999999994
link,random,4,0.36,0.3601263601263601,1026,0.13559322033898305,0.7357599333148097,64.73826024590164,0.0,0.0,598.6466999999997
link,random,4,0.38,0.38013338013338016,1083,0.13392609058071686,0.7374270630730759,57.61622406639004,0.0,0.0,346.249
link,random,4,0.4,0.40014040014040014,1140,0.13364823562100583,0.7377049180327869,57.52025571725572,0.0,0.0,346.249
link,random,5,0.0,0.0,0,0.8713531536537927,0.0,1678.3658804209185,1813.3350000000003,2515.206,3245.7529999999997
link,random,5,0.02,0.020007020007020006,57,0.8669074742984162,0.004445679355376542,1690.0600076923074,1836.6060000000002,2565.7141999999985,3254.999849999997
link,random,5,0.04,0.04001404001404001,114,0.8460683523200889,0.02528480133370381,1778.809419047619,1911.3400000000001,3015.6440000000002,3681.6949999999997
link,random,5,0.06,0.06002106002106002,171,0.8218949708252292,0.04945818282856351,1790.6640642325897,1911.3400000000001,2993.370999999999,3659.103700000002
link,random,5,0.08,0.08002808002808003,228,0.8024451236454571,0.06890803000833567,1914.910644044321,1995.426,3100.8213000000005,3676.5697500000038
link,random,5,0.1,0.10003510003510004,285,0.7607668796888024,0.11058627396499032,2183.7288955441927,2141.132,3912.5119999999997,4046.9490000000005
