component,strategy,target_fraction,fraction,n_removed,runs,reachable_share,reachable_share_std,reachable_share_p025,reachable_share_p975,reach_loss,reach_loss_std,reach_loss_p025,reach_loss_p975,mean_m,mean_m_std,mean_m_p025,mean_m_p975,median_m,median_m_std,median_m_p025,median_m_p975,p90_m,p90_m_std,p90_m_p025,p90_m_p975,p95_m,p95_m_std,p95_m_p025,p95_m_p975
link,od_eff,0.3,0.3001053001053001,855,1,0.12586829674909697,0.0,0.12586829674909697,0.12586829674909697,0.7454848569046958,0.0,0.7454848569046958,0.7454848569046958,2.817205298013245,0.0,2.817205298013245,2.817205298013245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,od_eff,0.32,0.3201123201123201,912,1,0.12586829674909697,0.0,0.12586829674909697,0.12586829674909697,0.7454848569046958,0.0,0.7454848569046958,0.7454848569046958,2.817205298013245,0.0,2.817205298013245,2.817205298013245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,od_eff,0.34,0.34011934011934014,969,1,0.12586829674909697,0.0,0.12586829674909697,0.12586829674909697,0.7454848569046958,0.0,0.7454848569046958,0.7454848569046958,2.817205298013245,0.0,2.817205298013245,2.817205298013245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,od_eff,0.36,0.3601263601263601,1026,1,0.12586829674909697,0.0,0.12586829674909697,0.12586829674909697,0.7454848569046958,0.0,0.7454848569046958,0.7454848569046958,2.817205298013245,0.0,2.817205298013245,2.817205298013245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,od_eff,0.38,0.38013338013338016,1083,1,0.12531258682967492,0.0,0.12531258682967492,0.12531258682967492,0.7460405668241178,0.0,0.7460405668241178,0.7460405668241178,2.7697871396895786,0.0,2.7697871396895786,2.7697871396895786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,od_eff,0.4,0.40014040014040014,1140,1,0.12531258682967492,0.0,0.12531258682967492,0.12531258682967492,0.7460405668241178,0.0,0.7460405668241178,0.7460405668241178,2.7697871396895786,0.0,2.7697871396895786,2.7697871396895786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,odbc,0.0,0.0,0,1,0.8713531536537927,0.0,0.8713531536537927,0.8713531536537927,0.0,0.0,0.0,0.0,1678.3658804209185,0.0,1678.3658804209185,1678.3658804209185,1813.3350000000003,0.0,1813.3350000000003,1813.3350000000003,2515.206,0.0,2515.206,2515.206,3245.7529999999997,0.0,3245.7529999999997,3245.7529999999997
link,odbc,0.02,0.020007020007020006,57,1,0.8599611003056404,0.0,0.8599611003056404,0.8599611003056404,0.011392053348152298,0.0,0.011392053348152298,0.011392053348152298,1745.9488423263329,0.0,1745.9488423263329,1745.9488423263329,1875.4920000000004,0.0,1875.4920000000004,1875.4920000000004,2789.609000000001,0.0,2789.609000000001,2789.609000000001,3319.890000000001,0.0,3319.890000000001,3319.890000000001
link,odbc,0.04,0.04001404001404001,114,1,0.8396776882467352,0.0,0.8396776882467352,0.8396776882467352,0.03167546540705757,0.0,0.03167546540705757,0.03167546540705757,1960.6381201191261,0.0,1960.6381201191261,1960.6381201191261,2078.562,0.0,2078.562,2078.562,3333.040800000001,0.0,3333.040800000001,3333.040800000001,4127.087499999995,0.0,4127.087499999995,4127.087499999995
link,odbc,0.06,0.06002106002106002,171,1,0.8341205890525146,0.0,0.8341205890525146,0.8341205890525146,0.037232564601278106,0.0,0.037232564601278106,0.037232564601278106,2278.715950033311,0.0,2278.715950033311,2278.715950033311,2257.304,0.0,2257.304,2257.304,4267.586200000001,0.0,4267.586200000001,4267.586200000001,4839.011,0.0,4839.011,4839.011
