grid_id,x_hk80,y_hk80,lon,lat,node_id,snap_dist_m,valid_origin,reachable,nearest_hospital_id,nearest_hospital,nearest_hospital_tc,distance_m,distance_km
114,838550.0,816150.0,114.19901782627439,22.284233370325403,394,1632.1454419009299,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
115,838650.0,816150.0,114.19998818016872,22.284233234793113,394,1732.1064947025586,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
116,838750.0,816150.0,114.20095853405583,22.28423309346093,394,1832.0717983920792,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
117,838850.0,816150.0,114.20192888793541,22.284232946328867,394,1932.0406931367647,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
118,833050.0,816250.0,114.14564816006646,22.28513495591973,74,519.4537317562856,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
119,833150.0,816250.0,114.14661852009786,22.285135139389958,74,517.7551399100522,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
120,833250.0,816250.0,114.14758888013961,22.285135317060053,74,535.0781161391525,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
121,833350.0,816250.0,114.1485592401914,22.285135488930006,74,569.6900875377514,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
122,833450.0,816250.0,114.14952960025293,22.2851356549998,74,618.6962108389848,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
123,833550.0,816250.0,114.15049996032386,22.28513581526945,74,678.986897350946,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
124,833650.0,816250.0,114.15147032040387,22.28513596973895,74,747.8378248270213,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
125,833750.0,816250.0,114.15244068049265,22.285136118408317,74,823.1036494328994,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
126,833850.0,816250.0,114.15341104058987,22.28513626127752,74,903.1820542822493,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
127,833950.0,816250.0,114.15438140069523,22.285136398346577,74,986.9022386463871,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
128,834050.0,816250.0,114.15535176080837,22.285136529615496,74,1073.4124249853814,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
129,834150.0,816250.0,114.156322120929,22.285136655084255,74,1162.0896865477912,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
130,834250.0,816250.0,114.1572924810568,22.28513677475287,74,1252.4738101247826,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
131,834350.0,816250.0,114.15826284119146,22.28513688862134,74,1344.2205364136635,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
132,834450.0,816250.0,114.15923320133263,22.28513699668965,1371,1396.2517275502353,True,False,-1,,,,
133,834550.0,816250.0,114.16020356148,22.285137098957826,1371,1325.8625594118646,True,False,-1,,,,
134,834650.0,816250.0,114.16117392163325,22.285137195425836,1371,1259.4856752711976,True,False,-1,,,,
135,834750.0,816250.0,114.1621442817921,22.28513728609372,1371,1197.7882976455019,True,False,-1,,,,
136,834850.0,816250.0,114.1631146419562,22.285137370961433,1371,1141.5294327084491,True,False,-1,,,,
137,834950.0,816250.0,114.1640850021252,22.285137450029,1371,1091.5503128591176,True,False,-1,,,,
138,835050.0,816250.0,114.16505536229882,22.28513752329643,1371,1048.7491240835445,True,False,-1,,,,
139,835150.0,816250.0,114.16602572247672,22.2851375907637,1371,1014.0351892459978,True,False,-1,,,,
140,835250.0,816250.0,114.1669960826586,22.28513765243082,1371,988.2611015274915,True,False,-1,,,,
141,835350.0,816250.0,114.16796644284412,22.285137708297793,1371,972.1381818216457,True,False,-1,,,,
142,835450.0,816250.0,114.16893680303296,22.28513775836462,1371,966.1497214814376,True,False,-1,,,,
143,835550.0,816250.0,114.16990716322482,22.285137802631294,1371,970.4833455973492,True,False,-1,,,,
144,835650.0,816250.0,114.17087752341938,22.285137841097807,1371,985.002824282747,True,False,-1,,,,
145,835750.0,816250.0,114.17184788361628,22.28513787376419,1371,1009.2686478872474,True,False,-1,,,,
146,835850.0,816250.0,114.17281824381526,22.28513790063041,1371,1042.6005195525834,True,False,-1,,,,
147,835950.0,816250.0,114.17378860401595,22.285137921696478,395,958.2128466944702,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
148,836050.0,816250.0,114.17475896421807,22.285137936962403,395,858.3928804288405,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
149,836150.0,816250.0,114.17572932442127,22.285137946428176,395,758.6203363814625,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
150,836250.0,816250.0,114.17669968462525,22.28513795009379,395,658.916756785047,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
151,836350.0,816250.0,114.17767004482965,22.28513794795926,395,559.3190234318213,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
152,836450.0,816250.0,114.17864040503422,22.28513794002458,395,459.89590949836435,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
153,836550.0,816250.0,114.17961076523858,22.28513792628974,395,360.7918030858368,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
154,836650.0,816250.0,114.18058112544243,22.285137906754766,395,262.36844851187954,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
155,836750.0,816250.0,114.18155148564547,22.285137881419633,395,165.84233589506712,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
156,836850.0,816250.0,114.18252184584735,22.285137850284343,395,78.55035312290944,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
157,836950.0,816250.0,114.18349220604777,22.285137813348918,394,61.70637728751555,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
158,837050.0,816250.0,114.1844625662464,22.28513777061334,394,141.78096653201345,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
159,837150.0,816250.0,114.18543292644293,22.285137722077597,394,237.47843679701666,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
160,837250.0,816250.0,114.186403286637,22.28513766774171,394,335.6935707104879,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
161,837350.0,816250.0,114.18737364682836,22.285137607605673,394,434.7232900238496,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
162,837450.0,816250.0,114.18834400701665,22.285137541669496,394,534.114692142018,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
163,837550.0,816250.0,114.18931436720155,22.28513746993316,394,633.6976170341541,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
164,837650.0,816250.0,114.19028472738276,22.285137392396685,394,733.3940518626861,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
165,837750.0,816250.0,114.19125508755991,22.285137309060048,394,833.1632497778397,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
166,837850.0,816250.0,114.19222544773275,22.28513721992326,394,932.9818681266928,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
167,837950.0,816250.0,114.1931958079009,22.285137124986324,394,1032.8355782630535,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
168,838050.0,816250.0,114.19416616806409,22.28513702424925,394,1132.7150997487315,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
169,838150.0,816250.0,114.19513652822195,22.28513691771201,394,1232.6141580687695,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
170,838250.0,816250.0,114.19610688837419,22.285136805374638,394,1332.528359227069,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
171,838350.0,816250.0,114.1970772485205,22.285136687237106,394,1432.4545345724543,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
172,838450.0,816250.0,114.19804760866054,22.285136563299424,394,1532.3903416199119,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
173,838550.0,816250.0,114.19901796879401,22.2851364335616,394,1632.3340113355455,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
174,838650.0,816250.0,114.19998832892057,22.285136298023616,394,1732.284182816317,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
175,838750.0,816250.0,114.2009586890399,22.2851361566855,394,1832.2397920327999,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
176,838850.0,816250.0,114.20192904915172,22.28513600954722,394,1932.19999507846,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
177,833050.0,816350.0,114.14564795980327,22.286038018968938,74,420.2491819687777,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
178,833150.0,816350.0,114.1466183260672,22.28603820244777,74,418.1477973314859,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
179,833250.0,816350.0,114.14758869234149,22.2860383801262,74,439.41527725025674,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
180,833350.0,816350.0,114.14855905862582,22.286038552004204,74,480.96152792990273,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
181,833450.0,816350.0,114.14952942491989,22.28603871808182,74,538.1098371303141,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
182,833550.0,816350.0,114.15049979122335,22.28603887835903,74,606.4654996651992,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
183,833650.0,816350.0,114.1514701575359,22.286039032835813,74,682.6702042362083,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
184,833750.0,816350.0,114.15244052385721,22.2860391815122,74,764.3800188516527,True,True,10,Tsan Yuk Hospital,贊育醫院,0.0,0.0
