tpusb,connector_order,node_id,weight,selection,rep_snap_dist_m,node_x_hk80,node_y_hk80
236023,2,991,0.3333333333333333,inside,129.80672543816252,836488.5790024302,819407.4657863162
236023,3,995,0.3333333333333333,inside,127.05546634740645,836525.5845473282,819652.0902112159
236024,1,997,0.3333333333333333,inside,32.77199008353772,836543.9646643017,819695.7864193583
236024,2,417,0.3333333333333333,inside,238.875296127471,836312.1643230647,819581.1293267638
236024,3,32,0.3333333333333333,inside,234.81227951522635,836698.0542069206,819493.7989322562
237001,1,1289,0.3333333333333333,inside,13.331419429410847,836764.3625605059,819928.511906004
237001,2,1518,0.3333333333333333,inside,233.34018798597316,836570.1845847222,819779.1590278738
237001,3,1588,0.3333333333333333,inside,231.78437497724153,836687.8276067155,819703.452518391
237002,1,465,0.3333333333333333,nearest,77.7324356752756,836922.1244504248,820121.5061899999
237002,2,1137,0.3333333333333333,nearest,344.6060384346163,837250.7906413395,820057.0870787634
237002,3,979,0.3333333333333333,nearest,337.6085778441346,836664.3833189645,820280.7892710499
237003,1,902,0.5,inside,136.9687809405072,836763.5519195067,819505.7713132278
237003,2,463,0.5,inside,221.68791193969747,836787.5928970766,819405.2250800789
237004,1,1130,0.3333333333333333,nearest,224.22481596048283,837251.5859910402,819701.0973374599
237004,2,1588,0.3333333333333333,nearest,347.3621490516073,836687.8276067155,819703.452518391
237004,3,1289,0.3333333333333333,nearest,323.0891932296086,836764.3625605059,819928.511906004
237005,1,1333,0.5,inside,204.78292458902376,836790.9841223275,819363.400736194
237005,2,463,0.5,inside,229.59896121442154,836787.5928970766,819405.2250800789
241001,1,1170,0.3333333333333333,inside,97.46237983155896,837489.2382821089,820622.2940630682
241001,2,30,0.3333333333333333,inside,131.33122634270939,837396.3857425371,820420.7497864973
241001,3,1171,0.3333333333333333,inside,106.57462766302513,837440.4223459704,820654.370147825
241002,1,1633,0.5,inside,55.68796012907343,837530.6665026676,820602.1104407706
241002,2,487,0.5,inside,56.557825442629166,837497.2956829955,820612.1846177421
241003,1,1169,1.0,inside,62.28223462363245,837552.282106156,820592.290046074
241004,1,491,0.3333333333333333,inside,55.7017737800451,837406.9154489572,820415.8782296265
241004,2,1168,0.3333333333333333,inside,63.410215390110224,837453.0434198409,820513.6493894082
241004,3,1519,0.3333333333333333,inside,60.27807239157263,837458.7914519501,820390.5460276165
241005,1,324,0.5,inside,56.19316850398001,837504.8469250426,820489.9229866564
241005,2,1519,0.5,inside,66.86830018308194,837458.7914519501,820390.5460276165
241006,1,1414,0.3333333333333333,inside,31.10022855223052,837410.541249178,820286.4185349679
241006,2,491,0.3333333333333333,inside,102.92932113964667,837406.9154489572,820415.8782296265
241006,3,1475,0.3333333333333333,inside,108.32393383093361,837376.4550487623,820206.9417568065
241007,1,1414,0.3333333333333333,inside,47.87404677630855,837410.541249178,820286.4185349679
241007,2,1519,0.3333333333333333,inside,81.56032819822289,837458.7914519501,820390.5460276165
241007,3,1505,0.3333333333333333,inside,60.74666376951144,837457.7102659763,820248.6836986871
241008,1,1505,1.0,inside,98.6312272249684,837457.7102659763,820248.6836986871
241009,1,522,0.5,inside,78.15562085277337,837622.0360430232,820175.7783918268
241009,2,1506,0.5,inside,79.01882592384715,837573.2914956849,820196.6366250052
241010,1,1475,0.3333333333333333,inside,37.84449736280932,837376.4550487623,820206.9417568065
