zone_od_id,origin_tpusb,destination_tpusb,main_mode,sample_flow,expanded_hk_flow,road_factor,road_proxy_flow,kish_neff,origin_26PDD,origin_26PDD_name,destination_26PDD,destination_26PDD_name
609,227002,242003,6,1,107.2966,1.0,107.2966,1.0,6,Mong Kok,8,Kowloon City
610,227002,242010,5,1,145.0729,1.0,145.0729,1.0,6,Mong Kok,8,Kowloon City
611,227002,247011,5,2,248.0382,1.0,248.0382,1.985595287722,6,Mong Kok,8,Kowloon City
612,227003,286014,6,1,103.3789,1.0,103.3789,1.0,6,Mong Kok,8,Kowloon City
613,227004,211021,6,1,104.9026,1.0,104.9026,1.0,6,Mong Kok,5,Yau Ma Tei
614,227004,285007,5,1,527.1876,1.0,527.1876,1.0,6,Mong Kok,8,Kowloon City
615,227006,234021,5,1,1475.1295,1.0,1475.1295,1.0,6,Mong Kok,8,Kowloon City
616,227007,263010,6,2,511.3764,1.0,511.3764,1.997823705001,6,Mong Kok,7,Sham Shui Po
617,227008,283032,5,1,183.7852,1.0,183.7852,1.0,6,Mong Kok,10,Wong Tai Sin
618,227011,237001,5,1,176.533,1.0,176.533,1.0,6,Mong Kok,8,Kowloon City
619,227011,264034,6,3,343.6694,1.0,343.6694,2.485652080815,6,Mong Kok,7,Sham Shui Po
620,227012,236008,5,1,125.2813,1.0,125.2813,1.0,6,Mong Kok,8,Kowloon City
621,227012,267016,5,1,170.9394,1.0,170.9394,1.0,6,Mong Kok,7,Sham Shui Po
622,227014,286039,6,1,49.0143,1.0,49.0143,1.0,6,Mong Kok,8,Kowloon City
623,227015,285019,6,3,829.4144,1.0,829.4144,2.278349829061,6,Mong Kok,8,Kowloon City
624,227016,236024,5,1,212.9631,1.0,212.9631,1.0,6,Mong Kok,8,Kowloon City
625,227019,113007,6,3,259.5258,1.0,259.5258,2.997757218341,6,Mong Kok,1,Central & Western
626,227019,256005,6,1,1.0,1.0,1.0,1.0,6,Mong Kok,5,Yau Ma Tei
627,227019,281028,5,1,135.3143,1.0,135.3143,1.0,6,Mong Kok,10,Wong Tai Sin
628,227019,284026,7,1,276.9696,1.0,276.9696,1.0,6,Mong Kok,10,Wong Tai Sin
629,227020,211020,6,1,318.305,1.0,318.305,1.0,6,Mong Kok,5,Yau Ma Tei
630,227020,254014,6,1,203.2752,1.0,203.2752,1.0,6,Mong Kok,6,Mong Kok
631,227020,269003,6,1,256.8861,1.0,256.8861,1.0,6,Mong Kok,7,Sham Shui Po
632,227021,266010,6,1,253.0388,1.0,253.0388,1.0,6,Mong Kok,7,Sham Shui Po
633,227021,285012,6,1,380.8818,1.0,380.8818,1.0,6,Mong Kok,8,Kowloon City
634,227022,221089,7|99,2,535.6906,0.33666867985308263,180.35024711170576,1.556067089797,6,Mong Kok,6,Mong Kok
635,227022,236024,5,1,904.7528,1.0,904.7528,1.0,6,Mong Kok,8,Kowloon City
636,227022,247011,6,1,43.3991,1.0,43.3991,1.0,6,Mong Kok,8,Kowloon City
637,227023,211018,6,2,1131.9329,1.0,1131.9329,1.999932814679,6,Mong Kok,5,Yau Ma Tei
638,227023,222019,6,1,102.997,1.0,102.997,1.0,6,Mong Kok,6,Mong Kok
639,227023,235012,6,1,170.5341,1.0,170.5341,1.0,6,Mong Kok,8,Kowloon City
640,227023,242046,6,1,101.928,1.0,101.928,1.0,6,Mong Kok,8,Kowloon City
641,227023,243045,6,1,88.7568,1.0,88.7568,1.0,6,Mong Kok,8,Kowloon City
