connector_od_id,zone_od_id,origin_tpusb,destination_tpusb,origin_node,destination_node,pair_weight,demand
7387,1153,246010,253002,1514,182,0.11111111111111108,18.481533333333328
7388,1153,246010,253002,1514,121,0.11111111111111108,18.481533333333328
7389,1153,246010,253002,1514,118,0.11111111111111108,18.481533333333328
7390,1153,246010,253002,1508,182,0.11111111111111108,18.481533333333328
7391,1153,246010,253002,1508,121,0.11111111111111108,18.481533333333328
7392,1153,246010,253002,1508,118,0.11111111111111108,18.481533333333328
7393,1154,246011,211020,30,495,1.0,268.6071
7394,1155,246011,211021,30,291,0.3333333333333333,78.08073333333333
7395,1155,246011,211021,30,1521,0.3333333333333333,78.08073333333333
7396,1155,246011,211021,30,1310,0.3333333333333333,78.08073333333333
7397,1156,246011,211030,30,1400,0.3333333333333333,1149.0709333333332
7398,1156,246011,211030,30,929,0.3333333333333333,1149.0709333333332
7399,1156,246011,211030,30,819,0.3333333333333333,1149.0709333333332
7400,1157,246011,217001,30,736,0.3333333333333333,78.08073333333333
7401,1157,246011,217001,30,1070,0.3333333333333333,78.08073333333333
7402,1157,246011,217001,30,511,0.3333333333333333,78.08073333333333
7403,1158,246011,285002,30,1191,0.3333333333333333,16.494899999999998
7404,1158,246011,285002,30,1189,0.3333333333333333,16.494899999999998
7405,1158,246011,285002,30,1188,0.3333333333333333,16.494899999999998
7406,1159,246013,247006,1173,1139,0.11111111111111108,66.12556994189916
7407,1159,246013,247006,1173,313,0.11111111111111108,66.12556994189916
7408,1159,246013,247006,1173,1136,0.11111111111111108,66.12556994189916
7409,1159,246013,247006,1179,1139,0.11111111111111108,66.12556994189916
7410,1159,246013,247006,1179,313,0.11111111111111108,66.12556994189916
7411,1159,246013,247006,1179,1136,0.11111111111111108,66.12556994189916
7412,1159,246013,247006,350,1139,0.11111111111111108,66.12556994189916
7413,1159,246013,247006,350,313,0.11111111111111108,66.12556994189916
7414,1159,246013,247006,350,1136,0.11111111111111108,66.12556994189916
7415,1160,246015,253002,340,182,0.11111111111111108,32.71102222222221
7416,1160,246015,253002,340,121,0.11111111111111108,32.71102222222221
7417,1160,246015,253002,340,118,0.11111111111111108,32.71102222222221
7418,1160,246015,253002,351,182,0.11111111111111108,32.71102222222221
7419,1160,246015,253002,351,121,0.11111111111111108,32.71102222222221
7420,1160,246015,253002,351,118,0.11111111111111108,32.71102222222221
7421,1160,246015,253002,1176,182,0.11111111111111108,32.71102222222221
7422,1160,246015,253002,1176,121,0.11111111111111108,32.71102222222221
7423,1160,246015,253002,1176,118,0.11111111111111108,32.71102222222221
7424,1161,247003,213004,1127,286,0.16666666666666669,11.8777
7425,1161,247003,213004,1127,302,0.16666666666666669,11.8777
7426,1161,247003,213004,1127,1680,0.16666666666666669,11.8777
7427,1161,247003,213004,1507,286,0.16666666666666669,11.8777
7428,1161,247003,213004,1507,302,0.16666666666666669,11.8777
7429,1161,247003,213004,1507,1680,0.16666666666666669,11.8777
7430,1162,247006,151003,1139,394,0.11111111111111108,15.619588888888885
7431,1162,247006,151003,1139,226,0.11111111111111108,15.619588888888885
7432,1162,247006,151003,1139,239,0.11111111111111108,15.619588888888885
7433,1162,247006,151003,313,394,0.11111111111111108,15.619588888888885
7434,1162,247006,151003,313,226,0.11111111111111108,15.619588888888885
7435,1162,247006,151003,313,239,0.11111111111111108,15.619588888888885
7436,1162,247006,151003,1136,394,0.11111111111111108,15.619588888888885
7437,1162,247006,151003,1136,226,0.11111111111111108,15.619588888888885
7438,1162,247006,151003,1136,239,0.11111111111111108,15.619588888888885
7439,1163,247006,211028,1139,1098,0.11111111111111108,25.789033333333325
7440,1163,247006,211028,1139,1096,0.11111111111111108,25.789033333333325
7441,1163,247006,211028,1139,1095,0.11111111111111108,25.789033333333325
7442,1163,247006,211028,313,1098,0.11111111111111108,25.789033333333325
7443,1163,247006,211028,313,1096,0.11111111111111108,25.789033333333325
